Persona,Channel,TAG,Imagen,Area Negra,Area Cafe,Area Restante,Contraste,Entropia,Bordes,Frecuencia espacial media,Saturacion promedio,colores_unicos,disp_r,disp_g,disp_b,fuente_min,fuente_max,fuente_media,fuente_mediana
7,O1,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
7,P3,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
7,C3,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
7,F7,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
8,O1,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
8,P3,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
8,C3,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
8,F7,1.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
9,O1,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
9,P3,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
9,C3,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
9,F7,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
10,O1,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
10,P3,0.0,1,243167.0,665851.3860228399,1164581.61397716,308.5405342288615,4.18600595729716,43.26717226753743,22412.962008306204,40.60328269675926,202743,48.766762288464605,69.21039455632847,72.48374980921052,7,45,13.5,11
